,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
10,Sun Dried Tomato Pesto Chicken Rolls,https://www.eatyourselfskinny.com/sun-dried-tomato-pesto-chicken-rolls/,"['6 chicken breasts (pounded to ¼-inch thickness)', 'Salt and pepper to taste', '½ cup whole wheat panko breadcrumbs', '2 Tbsp flaxseed meal', '1 tsp. dried oregano', '½ tsp. garlic powder', '¼ cup shredded cheese', '1 egg + 1 tsp water (egg wash)', 'Mozzarella cheese sliced', '1 (14.5 oz) can crushed tomatoes', '1 (8.5 oz) jar sun dried tomatoes (in oil not drained)', '3 cloves garlic', '1 cup grated parmesan cheese', '1 cup packed basil leaves', '¼ tsp. each salt + pepper']",378.0,13.8,41.3,17.1
11,Turkey Chili,https://www.eatyourselfskinny.com/the-best-turkey-chili-youll-ever-taste/,"['2 lbs 99% fat-free ground turkey', '1 yellow onion chopped', '5 cloves garlic minced', '1 Tbsp olive oil', '1 (28 oz) can crushed tomatoes no-salt added', '1 (15 oz) can petite diced tomatoes no-salt added', '3 Tbsp tomato paste', '½ tsp. hot sauce (I used Texas Pete)', '1 (15 oz) can kidney beans no-salt added drained and rinsed', '1 red bell pepper chopped', '1 green bell pepper chopped', '2 jalapenos chopped', '1½ tsp. sea salt', 'Pinch of pepper', '1 packet Stevia', '3 Tbsp chili powder', '2 tsp. oregano', '⅛ tsp. cayenne pepper']",262.0,25.9,34.6,3.6
12,Sheet Pan Sesame Chicken and Veggies,https://www.eatyourselfskinny.com/sheet-pan-sesame-chicken-and-veggies/,"['1 lb boneless skinless chicken breasts cut into 1-inch pieces', '1 large head of broccoli chopped (about 2 cups)', '2 medium red bell peppers cut into chunks', '1 cup snap peas', 'Salt and pepper to taste', 'Optional toppings: sesame seeds and green onions', '¼ cup lower-sodium soy sauce', '1 Tbsp sweet chili sauce', '2 Tbsp honey', '2 cloves garlic', '1 tsp. fresh ginger']",222.0,22.5,26.7,3.6
13,Creamy Tomato Hummus Detox Soup,https://www.eatyourselfskinny.com/creamy-tomato-hummus-soup/,"['1 Tbsp olive oil', '1 yellow onion chopped', '2 stalks celery chopped', '1 cup baby carrots halved', '5 cloves garlic minced', '2 Tbsp fresh ginger grated', '1½ cups vegetable broth', '2 (28 oz) cans whole tomatoes', '½ cup traditional hummus (or roasted garlic)', '1 (13.5 oz) can coconut milk', '1 tsp. sea salt', '½ tsp. turmeric', '2 tsp paprika', '2 to 3 sprigs of thyme', 'Handful of baby spinach', '1 (15 oz) can chickpeas rinsed and drained', '1 Tbsp olive oil', '1 tsp. cumin', '½ tsp. chili powder', '¼ tsp. paprika', '½ tsp. sea salt']",305.0,21.3,6.0,19.8
14,Tomato and Basil Bruschetta,https://www.eatyourselfskinny.com/tomato-and-basil-bruschetta/,"['8 ripe roma tomatoes diced', '½ cup basil chopped (or more if desired)', '2 Tbsp olive oil', '1 Tbsp balsamic vinegar', '2 cloves garlic minced', '1 tsp. sea salt', '½ tsp. cracked black pepper', '1 whole wheat baguette cut into 16 slices']",153.0,25.7,5.1,3.4
15,Hummus Crusted Salmon with Lemon Arugula Salad,https://www.eatyourselfskinny.com/hummus-crusted-salmon-with-lemon-arugula-salad/,"['4 (6 oz) Alaska salmon fillets fresh or frozen thawed', 'Salt and pepper to taste', '¼ cup hummus (I used roasted garlic)', '½ cup whole wheat panko', '¼ cup grated parmesan cheese', '2 tsp. fresh thyme chopped', '¼ cup grass fed butter melted', '1½ Tbsp Dijon mustard', '2 tsp. honey', '4 cups arugula', '2½ Tbsp lemon juice', '½ tsp. lemon zest', '1 tsp. honey', '2 Tbsp olive oil', 'Pinch of salt & cracked black pepper to taste']",477.0,14.0,47.7,26.1
16,Sun Dried Tomato & Artichoke Spaghetti Squash Boats,https://www.eatyourselfskinny.com/sun-dried-tomato-artichoke-spaghetti-squash-boats/,"['2 ripe spaghetti squash', '1 Tbsp olive oil', '1 Tbsp garlic', '½ cup sun dried tomatoes roughly chopped', '½ cup Reese artichoke hearts drained and chopped', '1 cup chicken broth', '½ cup half and half', '½ tsp. red pepper flakes', '1 tsp. Italian seasoning', 'Salt and cracked pepper to taste', '2 cups shredded rotisserie chicken', '2 cups baby spinach leaves', '½ cup shredded mozzarella cheese', '2 Tbsp fresh basil chopped']",395.0,42.6,29.6,18.3
17,Hawaiian Chicken Kabobs,https://www.eatyourselfskinny.com/hawaiian-chicken-kabobs/,"['1¼ lb boneless skinless chicken breasts cut into 1-inch cubes', '1 red bell pepper cut into large chunks', '1 green bell pepper cut into large chunks', '1 yellow bell pepper cut into large chunks', '1 red onion cut into large chunks', '3 cups fresh pineapple cubed', 'Optional garnish: green onions and cilantro', '¼ cup fresh pineapple juice', '¼ cup reduced sodium soy sauce', '1 Tbsp honey', '1 Tbsp olive oil', '1½ Tbsp hot chili paste', '2 tsp. fresh grated ginger', '2 cloves garlic minced']",228.0,21.1,26.4,3.8
18,Ginger Basil Salmon in Foil,https://www.eatyourselfskinny.com/ginger-basil-salmon-in-foil/,"['2 lb. side of Alaska salmon (wild caught)', 'Sea salt to taste', '3 Tbsp rice vinegar', 'Juice of half a lemon', '1 Tbsp honey', '1 Tbsp reduced sodium soy sauce', '1 Tbsp fresh ginger grated', '2 tsp. sriracha', '3 cloves garlic minced', '2 Tbsp fresh basil chopped']",222.0,3.7,28.9,9.2
19,Cilantro Lime Chicken Tacos,https://www.eatyourselfskinny.com/cilantro-lime-chicken-tacos/,"['1½ pounds boneless skinless chicken breasts', '¼ tsp. salt', '8 to 10 (6 inch) flour or corn tortillas', 'Juice of 2 limes + zest of 1 lime', '1 Tbsp olive oil', '2 cloves garlic', '½ tsp. honey', '2 Tbsp cilantro chopped', '2 cups shredded green cabbage', '1 cup shredded red cabbage', '1 cup shredded carrots', '½ cup chopped cilantro', '½ cup chopped green onions', 'Juice of 2 limes', '1 Tbsp olive oil', '1 tsp honey', 'Pinch of salt', '1 avocado', '1 garlic clove', '¼ cup cilantro leaves', '¼ cup plain Greek yogurt', '3 Tbsp lime juice', '1 tsp. Sriracha', 'Salt and pepper to taste', '2 Tbsp olive oil', '¼ to ½ cup water (depending on consistency)']",413.0,60.0,36.2,19.2
