,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
12,Loaded Baked Sweet Potato “Healthified” ,https://www.skinnytaste.com/loaded-baked-sweet-potato/,"['4 medium sized sweet potatoes', '1/2 cup fat free Greek yogurt (or light sour cream)', '1 tsp taco seasoning', '1 tsp olive or canola oil', '1 red bell pepper diced', '1/2 red onion diced', '1 tsp chili powder', '1/2 tsp paprika or smoked paprika', '1/2 tsp cumin', 'a pinch of salt', '1-1/3 cups canned black beans rinsed and drained', '1/2 cup mild or spicy salsa', '1/2 cup reduced fat Mexican cheese blend', '1/4 cup chopped scallions or cilantro']",307.0,53.0,15.0,5.0
13,Pumpkin Turkey Chili,https://www.skinnytaste.com/turkey-pumpkin-chili/,"['1 large yellow onion diced (about 2 cups)', '1 medium bell pepper (red yellow or orange) diced', '6 garlic cloves minced (or 3/4 teaspoon garlic powder)', '1⅓ pounds ground turkey or chicken (90 to 93 percent lean)', 'One 15-ounce can white beans drained and rinsed', 'One 28-ounce can diced tomatoes with liquid', '¼ cup tomato paste no salt added', 'One 14-ounce can pumpkin puree', '1 cup reduced-sodium chicken or vegetable broth', '2 tablespoons chili powder', '1 tablespoon cocoa powder', '1½ teaspoons ground cinnamon (or 1 tablespoon pumpkin pie spice)', '2½ teaspoons ground cumin', '1 teaspoon kosher salt', '½ teaspoon ground black pepper', '½ teaspoon cayenne pepper (optional)', '4 cups baby spinach leaves', 'Avocado (optional)', '\xa0Sour cream or Nonfat plain Greek yogurt (optional)', '\xa0Cilantro (optional)']",300.0,31.0,27.0,8.0
14,Tomato Salad,https://www.skinnytaste.com/tomato-salad/,"['5 large (8 cups) medium ripe red heirloom or beefsteak tomatoes cut into 1-inch cubes', '1/2 cup red onion chopped', '8 to 10 fresh basil leaves chopped', '1 tablespoon extra virgin olive oil', '1 clove garlic minced', 'Kosher salt and fresh ground pepper to taste', 'good crusty bread for serving (optional)']",86.5,12.5,2.0,4.0
15,Chopped Wedge Salad,https://www.skinnytaste.com/chopped-wedge-salad/,"['6 cups chopped Romaine Butter or Iceberg lettuce', '2 small tomatoes diced (or 1 \xa0cup halved cherry tomatoes)', '5 slices cooked center cut bacon', '1/4 cup crumbled blue cheese', '1/2 cup Homemade Blue Cheese Dressing', 'chopped chives for garnish']",132.0,5.5,10.0,8.0
16,Greek Chickpea Salad,https://www.skinnytaste.com/greek-chickpea-salad/,[],292.0,28.5,11.0,16.0
17,Chopped Feta Salad,https://www.skinnytaste.com/chopped-feta-salad/,"['8 cups chopped romaine lettuce', '1/2 English cucumber peeled and diced in large chunks', '1/3 cup Feta cheese crumbled', '1/8 small red onion sliced lengthwise', '1/4 cup olive oil', '2 tablespoon red wine vinegar', '1 1/2 tablespoons fresh chopped dill', '1/2 teaspoon kosher salt', 'fresh black pepper to taste']",173.0,4.5,4.0,16.5
18,Italian Chopped Salad,https://www.skinnytaste.com/italian-chopped-salad/,"['4 cups chopped romaine', '1/2 cup peeled English cucumber cubed', '1/2 cup halved cherry tomato', 'sliced red onion', '2 tablespoons olive oil', '1 tablespoon red wine vinegar', 'kosher salt and black pepper', '1/2 roasted red pepper (in water) chopped', '1 ounce genoa salami sliced', '6 tablespoons shredded part-skim mozzarella']",271.0,9.0,12.0,22.0
19,Mexican Shrimp Cobb Salad,https://www.skinnytaste.com/mexican-shrimp-cobb-salad/,"['16 oz cooked large shrimp peeled', 'chipotle chili powder to taste', '1 tbsp lime juice', 'salt to taste', '6 cups romaine lettuce shredded', '15 oz black beans rinsed and drained', '1 cup grilled corn kernels (I used Trader Joe’s frozen roasted corn)', '2 tbsp red onion divided', '2 tbsp cilantro chopped', 'juice of 1/2 lime', '1 seedless cucumber diced', '2 cups diced tomatoes', '1 ripe hass avocado diced', '1 cup reduced fat Sargento Mexican Blend shredded cheese']",267.5,24.0,28.0,9.0
20,Chicken Waldorf Salad,https://www.skinnytaste.com/skinny-chicken-waldorf-salad/,"['7 oz (1 breast) poached chicken breast (recipe follows)', '2 cups low sodium chicken broth', '1 medium apple peeled and cut into small cubes (I used Granny Smith)', '1 cup red seedless grapes cut in half', '1/2 cup celery chopped', '1/4 cup light Hellman’s mayonnaise', '2 tbsp 0% Greek yogurt (I like Stonyfield)', 'Kosher salt and pepper', '2 tbsp pecans or walnuts', '6 cups mixed baby greens like spinach and arugula']",236.0,17.0,19.5,10.5
21,Grilled Peach and Watermelon Burrata Salad,https://www.skinnytaste.com/grilled-peach-and-watermelon-burrata-salad/,"['4 peaches cut into 1⁄2-inch-thick wedges', 'Olive oil spray (I like my Misto or Bertolli)', '4 small balls burrata cheese (1 pound total)', '4 cups cubed seedless watermelon', '1⁄2 cup loosely packed watercress', '2 tablespoons balsamic glaze (I like DeLallo)']",408.0,31.0,23.0,25.0
22,Chicken Club Lettuce Wrap Sandwich,https://www.skinnytaste.com/chicken-club-lettuce-wrap-sandwich/,"['1 head iceberg lettuce cored and outer leaves removed', '1 tablespoon mayo (I love Sir Kensington) (check labels for W30)', '3 ounces (about 6 slices) organic chicken or turkey breast', '2 strips center cut bacon cooked and cut in half (check labels for W30)', '2 thin slices tomato', '1 piece of parchment paper about 14″ x 14″']",274.0,4.5,26.0,17.0
23,Chicken Salad with Lemon and Dill,https://www.skinnytaste.com/chicken-salad-with-lemon-and-dill/,"['10 1/2 ounces cooked skinless boneless chicken breasts (from 1 whole rotisserie chicken)', '2 tablespoons fresh dill', 'zest and juice of 1 lemon', '1 tablespoon extra virgin olive oil', '1/4 teaspoon kosher salt']",207.0,1.4,31.0,8.0
24,"Chopped Salad with Shrimp, Blue Cheese and Bacon",https://www.skinnytaste.com/chopped-salad-with-shrimp-blue-cheese-and-bacon/,"['4 slices center cut bacon chopped', '1/2 pound peeled and deveined shrimp', '2 cloves garlic minced', '4 ounce butter lettuce chopped', '1 small corn on the cobb grilled or roasted', '1 ounce blue cheese or gorgonzola', '1/2 cup halved cherry tomatoes', '2 ounces diced avocado (1 half small haas)', '2 teaspoons olive oil', 'kosher salt and black pepper to taste']",368.0,14.5,35.0,19.0
25,Classic Deviled Eggs,https://www.skinnytaste.com/deviled-eggs/,"['4 large hard boiled eggs cooled and peeled', '2 tablespoon light mayonnaise (regular for Keto)', '1 teaspoon Dijon mustard', 'paprika for garnish', 'Kosher salt and fresh black pepper to taste', '2 tablespoons chopped fresh chives']",96.8,1.0,6.3,7.5
26,Tuna Salad Deviled Eggs,https://www.skinnytaste.com/tuna-deviled-eggs/,"['8 large hard boiled eggs halved (Instant Pot hard boiled egg recipe here)', '2 (6 oz) cans albacore tuna packed in water drained', '1 tbsp red onion minced', '1/3 cup light mayo (use compliant mayo for whole30)', '1 teaspoon red wine vinegar', 'chopped fresh chives', 'salt and pepper to taste']",264.0,3.0,26.5,16.0
27,BBQ Chicken Quesadilla,https://www.skinnytaste.com/bbq-chicken-quesadilla/,"['1/8 tsp garlic powder', '1/8 tsp onion powder', 'nonstick spray']",325.0,32.5,32.0,10.0
